datetime,open,high,low,close,volume
2025-02-12 23:30:00+00:00,195.867,196.625,195.424,196.24,411.11
2025-02-12 23:45:00+00:00,196.36,196.701,195.816,196.666,453.56
2025-02-13 00:00:00+00:00,196.704,196.75,195.745,195.893,804.76
2025-02-13 00:15:00+00:00,195.831,196.422,195.472,195.684,966.85
2025-02-13 00:30:00+00:00,195.679,195.904,195.128,195.128,1163.14
2025-02-13 00:45:00+00:00,195.12,195.596,194.806,195.242,622.12
2025-02-13 01:00:00+00:00,195.414,196.52,195.413,196.046,446.12
2025-02-13 01:15:00+00:00,196.045,196.778,195.961,196.469,1063.06
2025-02-13 01:30:00+00:00,196.311,196.432,195.723,196.4,675.53
2025-02-13 01:45:00+00:00,196.48,197.7,196.48,197.456,2095.82
2025-02-13 02:00:00+00:00,197.538,197.68,196.805,197.009,1730.23
2025-02-13 02:15:00+00:00,197.083,197.302,196.401,196.434,1632.66
2025-02-13 02:30:00+00:00,196.4,196.649,196.248,196.43,347.71
2025-02-13 02:45:00+00:00,196.345,196.813,196.072,196.562,287.76
2025-02-13 03:00:00+00:00,196.753,197.7,196.703,197.564,505.91
2025-02-13 03:15:00+00:00,197.599,197.699,196.75,196.825,377.07
2025-02-13 03:30:00+00:00,197.08,197.92,196.936,197.761,1092.34
2025-02-13 03:45:00+00:00,197.71,198.04,197.507,198.04,315.99
2025-02-13 04:00:00+00:00,198.111,198.532,197.324,197.476,1151.11
2025-02-13 04:15:00+00:00,197.43,197.43,196.739,196.928,918.47
2025-02-13 04:30:00+00:00,197.036,197.037,196.101,196.311,707.34
2025-02-13 04:45:00+00:00,196.31,196.31,195.17,195.586,512.97
2025-02-13 05:00:00+00:00,195.552,195.613,194.526,195.441,1148.58
2025-02-13 05:15:00+00:00,195.484,195.819,194.964,195.47,948.44
2025-02-13 05:30:00+00:00,195.505,196.216,195.376,196.126,493.61
2025-02-13 05:45:00+00:00,196.16,196.239,194.96,195.086,1498.23
2025-02-13 06:00:00+00:00,194.953,195.361,194.31,195.044,1345.85
2025-02-13 06:15:00+00:00,195.066,195.411,194.933,195.183,622.98
2025-02-13 06:30:00+00:00,195.123,195.351,193.799,194.284,1443.69
2025-02-13 06:45:00+00:00,194.214,194.214,193.166,193.427,973.44
2025-02-13 07:00:00+00:00,193.426,194.0,192.921,193.465,667.63
2025-02-13 07:15:00+00:00,193.566,193.566,192.691,193.035,2248.68
2025-02-13 07:30:00+00:00,193.076,193.817,193.01,193.817,1316.64
2025-02-13 07:45:00+00:00,193.8,194.045,193.037,193.068,1927.45
2025-02-13 08:00:00+00:00,193.056,193.484,192.992,193.001,1190.47
2025-02-13 08:15:00+00:00,192.992,193.365,192.288,193.089,1306.38
2025-02-13 08:30:00+00:00,192.978,193.271,192.276,192.418,369.56
2025-02-13 08:45:00+00:00,192.6,192.627,191.77,192.368,922.01
2025-02-13 09:00:00+00:00,192.255,193.199,191.931,192.635,720.38
2025-02-13 09:15:00+00:00,192.737,192.977,192.68,192.81,165.85
2025-02-13 09:30:00+00:00,192.683,193.399,192.602,193.177,373.89
2025-02-13 09:45:00+00:00,193.0,193.435,193.0,193.373,345.14
2025-02-13 10:00:00+00:00,193.16,193.462,192.713,193.376,926.86
2025-02-13 10:15:00+00:00,193.375,193.43,192.772,192.965,267.8
2025-02-13 10:30:00+00:00,192.925,192.947,192.508,192.896,396.15
2025-02-13 10:45:00+00:00,192.92,192.947,192.492,192.695,454.82
2025-02-13 11:00:00+00:00,192.555,192.871,192.483,192.546,364.58
2025-02-13 11:15:00+00:00,192.546,192.6,192.166,192.166,669.17
2025-02-13 11:30:00+00:00,192.165,192.165,191.105,191.975,2533.63
2025-02-13 11:45:00+00:00,191.937,192.114,191.0,191.84,1794.31
2025-02-13 12:00:00+00:00,191.85,191.869,191.2,191.624,1008.74
2025-02-13 12:15:00+00:00,191.533,191.826,191.43,191.826,1250.47
2025-02-13 12:30:00+00:00,191.84,192.154,191.629,191.77,508.44
2025-02-13 12:45:00+00:00,191.824,191.824,190.662,190.96,991.35
2025-02-13 13:00:00+00:00,190.926,191.49,190.4,191.001,975.25
2025-02-13 13:15:00+00:00,191.0,191.255,190.581,190.581,1515.22
2025-02-13 13:30:00+00:00,190.598,192.331,190.592,191.028,2878.71
2025-02-13 13:45:00+00:00,191.0,191.068,190.18,190.904,1068.93
2025-02-13 14:00:00+00:00,190.8,190.8,189.118,189.598,4937.98
2025-02-13 14:15:00+00:00,189.574,190.491,188.802,190.45,1557.24
2025-02-13 14:30:00+00:00,190.311,191.079,189.279,191.079,1492.22
2025-02-13 14:45:00+00:00,191.07,191.446,190.656,190.801,1347.17
2025-02-13 15:00:00+00:00,190.672,191.11,189.541,190.356,673.72
2025-02-13 15:15:00+00:00,190.493,192.745,190.493,191.4,1757.47
2025-02-13 15:30:00+00:00,191.451,192.97,190.983,192.97,1093.03
2025-02-13 15:45:00+00:00,192.985,193.021,191.553,191.871,1672.53
2025-02-13 16:00:00+00:00,191.6,191.696,190.388,191.187,1815.18
2025-02-13 16:15:00+00:00,191.165,191.2,189.925,190.143,782.19
2025-02-13 16:30:00+00:00,190.199,190.946,189.921,190.692,1163.85
2025-02-13 16:45:00+00:00,190.734,190.8,189.905,190.64,348.75
2025-02-13 17:00:00+00:00,190.592,191.4,190.592,191.208,670.68
2025-02-13 17:15:00+00:00,191.233,192.3,190.6,192.179,486.59
